Sample	Strain	RTO4 ID	Short Name	BarSeq Fitness	Exp Date	OD 600	OD Ratio
1	APA 4140	RTO4_11920	$YKU70\Delta$	0.165060083	6/14/17	4.54	-0.421379026
2	APA 4140	RTO4_11920	$YKU70\Delta$	-0.067430681	6/14/17	6.48	0.091922489
3	APA 4140	RTO4_11920	$YKU70\Delta$	-0.410145668	6/14/17	7.22	0.247927513
7	APA 2687		IFO 0880	0	6/14/17	2.54	-1.259242827
8	APA 2687		IFO 0880	0	6/14/17	8.02	0.399530913
9	APA 2687		IFO 0880	0	6/14/17	8.46	0.47658634
19	APA 4830	RTO4_16346	$PEX7\Delta$	-4.413722166	6/14/17	2.06	-1.561426986
20	APA 4830	RTO4_16346	$PEX7\Delta$	-3.797170296	6/14/17	5.46	-0.155170373
21	APA 4830	RTO4_16346	$PEX7\Delta$	-4.452459721	6/14/17	4.32	-0.493040011
22	APA 4836	RTO4_8963	$RTO4$_$8963\Delta$	-2.008401502	6/14/17	2.44	-1.317190176
23	APA 4836	RTO4_8963	$RTO4$_$8963\Delta$	-1.615888812	6/14/17	3.6	-0.756074417
24	APA 4836	RTO4_8963	$RTO4$_$8963\Delta$	-2.588679525	6/14/17	4.5	-0.434146322
25	APA 4837	RTO4_14805	$ECHS1\Delta$	-2.409690546	6/14/17	0.9	-2.756074417
26	APA 4837	RTO4_14805	$ECHS1\Delta$	-3.142727689	6/14/17	0.76	-3
27	APA 4837	RTO4_14805	$ECHS1\Delta$	-3.168214815	6/14/17	0.9	-2.756074417
28	APA 4839	RTO4_14070	$ACADSB\Delta$	-2.356783965	6/14/17	2.62	-1.214504512
29	APA 4839	RTO4_14070	$ACADSB\Delta$	-1.469952945	6/14/17	2.8	-1.118644496
30	APA 4839	RTO4_14070	$ACADSB\Delta$	-2.038938461	6/14/17	2.78	-1.128986441
31	APA 4841	RTO4_8673	$Pex11-like\Delta$	-1.897504111	6/14/17	3.62	-0.748081626
32	APA 4841	RTO4_8673	$Pex11-like\Delta$	-1.677033808	6/14/17	5.14	-0.242302964
33	APA 4841	RTO4_8673	$Pex11-like\Delta$	-1.783577658	6/14/17	5.82	-0.063052171
37	APA 4845	RTO4_14567	$RTO4$_$14567\Delta$	-0.218632228	6/14/17	8.68	0.513623719
38	APA 4845	RTO4_14567	$RTO4$_$14567\Delta$	-0.158596743	6/14/17	6.86	0.174137253
39	APA 4845	RTO4_14567	$RTO4$_$14567\Delta$	-0.482457648	6/14/17	5.44	-0.160464672
