Strain	Expect	RTO4_ID	Short Name	Description	Cluster Order	Cluster
APA 4140	none	RTO4_11920	$YKU70\Delta$			
APA 4884	none	RTO4_11766	$RTO4$_$11766\Delta$	Hypothetical Protein	176	LA5 - Conflicting results
APA 9174	low	RTO4_12154	$GPD1\Delta$	K00006 GPD1 glycerol-3-phosphate dehydrogenase (NAD+)	187	"LA6 - Reduced accumulation, high confidence"
APA 9116	low	RTO4_11043	$BSCL2$-like$^1\Delta$	HMMPfam-Putative adipose-regulatory protein (Seipin)-PF06775	189	"LA6 - Reduced accumulation, high confidence"
APA 4817	low	RTO4_16381	$PLN1$-like$^1\Delta$	SUPERFAMILY--SSF58113	195	"LA6 - Reduced accumulation, high confidence"
APA 4814	low	RTO4_13598	$ATG2\Delta$	K17906 ATG2 autophagy-related protein 2	200	"LA6 - Reduced accumulation, high confidence"
APA 4821	low	RTO4_11901	$ATG7\Delta$	K08337 ATG7 ubiquitin-like modifier-activating enzyme ATG7	202	"LA6 - Reduced accumulation, high confidence"
APA 4825	low	RTO4_12420	$Opi1$-like$\Delta$	HMMPfam-Transcription factor Opi1-PF08618	209	"LA6 - Reduced accumulation, high confidence"
APA 9168	low	RTO4_15889	$MAEA^1\Delta$	"K18624 MAEA, EMP macrophage erythroblast attacher"	229	"LA6 - Reduced accumulation, high confidence"
APA 4844	low	RTO4_15641	$SKN7\Delta$	"K15859 SKN7 osomolarity two-component system, response regulator SKN7"	242	"LA6 - Reduced accumulation, high confidence"
APA 4826	low	RTO4_12817	$NCS6\Delta$	"K14168 CTU1, NCS6 cytoplasmic tRNA 2-thiolation protein 1"	254	"LA7 - Reduced accumulation, high confidence"
APA 4828	low	RTO4_10764	$NCS2\Delta$	"K14169 CTU2, NCS2 cytoplasmic tRNA 2-thiolation protein 2"	257	"LA7 - Reduced accumulation, high confidence"
APA 4829	low	RTO4_10264	$HXK1$-like$\Delta$	K00844 HK hexokinase	262	"LA7 - Reduced accumulation, high confidence"
APA 4885	low	RTO4_15211	$RTO4$_$15211\Delta$	BLAST protein of unknown function [Taphrina deformans PYCC ...	268	"LA8 - Reduced accumulation, high confidence"
APA 4834	low	RTO4_9970	$LDB17\Delta$	HMMPfam-Protein of unknown function (DUF2013)-PF09431	269	"LA8 - Reduced accumulation, high confidence"
